"","center","Beta","mu","eta","gamma","N","loglik"
"34",1,5.17241379310345e-08,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"35",1,6.89655172413793e-08,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"36",1,8.62068965517241e-08,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"37",1,1.03448275862069e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"38",1,1.20689655172414e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"39",1,1.37931034482759e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"40",1,1.55172413793103e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"41",1,1.72413793103448e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2324.42253244146
"42",1,1.89655172413793e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"43",1,2.06896551724138e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"44",1,2.24137931034483e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"45",1,2.41379310344828e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"46",1,2.58620689655172e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"47",1,2.75862068965517e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"48",1,2.93103448275862e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"49",1,3.10344827586207e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"50",1,3.27586206896552e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"51",1,3.44827586206897e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2324.42253244146
"52",1,3.62068965517241e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2324.42253244146
"53",1,3.79310344827586e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"54",1,3.96551724137931e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"55",1,4.13793103448276e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"56",1,4.31034482758621e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2324.42253244146
"57",1,4.48275862068965e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2322.14920255695
"58",1,4.6551724137931e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"59",1,4.82758620689655e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2322.51868228153
"60",1,5e-07,0.483716475095785,5.19402271865537e-05,0.166666666666667,192529,-2322.51868228153
"61",1,0,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"62",1,1.72413793103448e-08,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"63",1,3.44827586206897e-08,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"64",1,5.17241379310345e-08,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"65",1,6.89655172413793e-08,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"66",1,8.62068965517241e-08,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"67",1,1.03448275862069e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"68",1,1.20689655172414e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"69",1,1.37931034482759e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"70",1,1.55172413793103e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"71",1,1.72413793103448e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"72",1,1.89655172413793e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"73",1,2.06896551724138e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"74",1,2.24137931034483e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"75",1,2.41379310344828e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"76",1,2.58620689655172e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2322.89854583925
"77",1,2.75862068965517e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"78",1,2.93103448275862e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
"79",1,3.10344827586207e-07,0.467432950191571,5.19402271865537e-05,0.166666666666667,192529,-2348.63679485393
