"","center","Beta","mu_ID","mu_DS","rho","eta","N","loglik"
"112",1,2.48275862068965e-07,0,0.75,1,1,192529,NA
"113",1,2.48275862068965e-07,0,0.75,1,1,192529,NA
"114",192529,2.48275862068965e-07,0,0.75,1,1,192529,NA
"115",1.947758e-07,2.62068965517241e-07,0,0.75,1,1,192529,NA
"116",0.166666666666667,2.62068965517241e-07,0,0.75,1,1,192529,NA
"117",0.75,2.62068965517241e-07,0,0.75,1,1,192529,NA
"118",1,2.62068965517241e-07,0,0.75,1,1,192529,NA
"119",1,2.62068965517241e-07,0,0.75,1,1,192529,NA
"120",192529,2.62068965517241e-07,0,0.75,1,1,192529,NA
"121",1.947758e-07,2.75862068965517e-07,0,0.75,1,1,192529,NA
"122",0.166666666666667,2.75862068965517e-07,0,0.75,1,1,192529,NA
"123",0.75,2.75862068965517e-07,0,0.75,1,1,192529,NA
"124",1,2.75862068965517e-07,0,0.75,1,1,192529,NA
"125",1,2.75862068965517e-07,0,0.75,1,1,192529,NA
"126",192529,2.75862068965517e-07,0,0.75,1,1,192529,NA
"127",1.947758e-07,2.89655172413793e-07,0,0.75,1,1,192529,NA
"128",0.166666666666667,2.89655172413793e-07,0,0.75,1,1,192529,NA
"129",0.75,2.89655172413793e-07,0,0.75,1,1,192529,NA
"130",1,2.89655172413793e-07,0,0.75,1,1,192529,NA
"131",1,2.89655172413793e-07,0,0.75,1,1,192529,NA
"132",192529,2.89655172413793e-07,0,0.75,1,1,192529,NA
"133",1.947758e-07,3.03448275862069e-07,0,0.75,1,1,192529,NA
"134",0.166666666666667,3.03448275862069e-07,0,0.75,1,1,192529,NA
"135",0.75,3.03448275862069e-07,0,0.75,1,1,192529,NA
"136",1,3.03448275862069e-07,0,0.75,1,1,192529,NA
"137",1,3.03448275862069e-07,0,0.75,1,1,192529,NA
"138",192529,3.03448275862069e-07,0,0.75,1,1,192529,NA
"139",1.947758e-07,3.17241379310345e-07,0,0.75,1,1,192529,NA
"140",0.166666666666667,3.17241379310345e-07,0,0.75,1,1,192529,NA
"141",0.75,3.17241379310345e-07,0,0.75,1,1,192529,NA
"142",1,3.17241379310345e-07,0,0.75,1,1,192529,NA
"143",1,3.17241379310345e-07,0,0.75,1,1,192529,NA
"144",192529,3.17241379310345e-07,0,0.75,1,1,192529,NA
"145",1.947758e-07,3.31034482758621e-07,0,0.75,1,1,192529,NA
"146",0.166666666666667,3.31034482758621e-07,0,0.75,1,1,192529,NA
"147",0.75,3.31034482758621e-07,0,0.75,1,1,192529,NA
"148",1,3.31034482758621e-07,0,0.75,1,1,192529,NA
"149",1,3.31034482758621e-07,0,0.75,1,1,192529,NA
"150",192529,3.31034482758621e-07,0,0.75,1,1,192529,NA
"151",1.947758e-07,3.44827586206897e-07,0,0.75,1,1,192529,NA
"152",0.166666666666667,3.44827586206897e-07,0,0.75,1,1,192529,NA
"153",0.75,3.44827586206897e-07,0,0.75,1,1,192529,NA
"154",1,3.44827586206897e-07,0,0.75,1,1,192529,NA
"155",1,3.44827586206897e-07,0,0.75,1,1,192529,NA
"156",192529,3.44827586206897e-07,0,0.75,1,1,192529,NA
"157",1.947758e-07,3.58620689655172e-07,0,0.75,1,1,192529,NA
"158",0.166666666666667,3.58620689655172e-07,0,0.75,1,1,192529,NA
"159",0.75,3.58620689655172e-07,0,0.75,1,1,192529,NA
"160",1,3.58620689655172e-07,0,0.75,1,1,192529,NA
"161",1,3.58620689655172e-07,0,0.75,1,1,192529,NA
"162",192529,3.58620689655172e-07,0,0.75,1,1,192529,NA
"163",1.947758e-07,3.72413793103448e-07,0,0.75,1,1,192529,NA
"164",0.166666666666667,3.72413793103448e-07,0,0.75,1,1,192529,NA
