"","loglik","log.prior","nfail","Beta","mu","eta","gamma","N"
"49",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"50",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"51",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"52",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"53",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"54",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"55",-162.901864076744,0,3,-13.2788720716835,-0.0284023979691588,-8.91027066841234,0.166666666666667,192529
"56",-164.348348142644,0,3,-12.7887227453425,-0.0339832036322849,-9.315162791108,0.166666666666667,192529
"57",-164.348348142644,0,3,-12.7887227453425,-0.0339832036322849,-9.315162791108,0.166666666666667,192529
"58",-164.348348142644,0,3,-12.7887227453425,-0.0339832036322849,-9.315162791108,0.166666666666667,192529
"59",-164.348348142644,0,3,-12.7887227453425,-0.0339832036322849,-9.315162791108,0.166666666666667,192529
"60",-164.348348142644,0,3,-12.7887227453425,-0.0339832036322849,-9.315162791108,0.166666666666667,192529
"61",-164.348348142644,0,3,-12.7887227453425,-0.0339832036322849,-9.315162791108,0.166666666666667,192529
"62",-164.348348142644,0,3,-12.7887227453425,-0.0339832036322849,-9.315162791108,0.166666666666667,192529
"63",-164.348348142644,0,3,-12.7887227453425,-0.0339832036322849,-9.315162791108,0.166666666666667,192529
"64",-163.70308389632,0,3,-13.4257182252363,-0.0961503241253768,-9.01995476551139,0.166666666666667,192529
"65",-163.70308389632,0,3,-13.4257182252363,-0.0961503241253768,-9.01995476551139,0.166666666666667,192529
"66",-163.70308389632,0,3,-13.4257182252363,-0.0961503241253768,-9.01995476551139,0.166666666666667,192529
