"","center","Beta","mu_ID","mu_DS","eta","N","loglik"
"200",192529,1e-06,0.0421052631578947,0.25,1,192529,NA
"201",5e-08,0,0.0842105263157895,0.25,1,192529,-101.442880642845
"202",0.166666666666667,0,0.0842105263157895,0.25,1,192529,-101.486720473032
"203",0.25,0,0.0842105263157895,0.25,1,192529,-101.502936188923
"204",1,0,0.0842105263157895,0.25,1,192529,-101.369315357814
"205",192529,0,0.0842105263157895,0.25,1,192529,-101.516673167552
"206",5e-08,5.26315789473684e-08,0.0842105263157895,0.25,1,192529,-106.191790770873
"207",0.166666666666667,5.26315789473684e-08,0.0842105263157895,0.25,1,192529,-106.300960231919
"208",0.25,5.26315789473684e-08,0.0842105263157895,0.25,1,192529,-107.35355923107
"209",1,5.26315789473684e-08,0.0842105263157895,0.25,1,192529,-104.818899652374
"210",192529,5.26315789473684e-08,0.0842105263157895,0.25,1,192529,-107.127558732961
"211",5e-08,1.05263157894737e-07,0.0842105263157895,0.25,1,192529,-115.586799404161
"212",0.166666666666667,1.05263157894737e-07,0.0842105263157895,0.25,1,192529,-113.589004697123
"213",0.25,1.05263157894737e-07,0.0842105263157895,0.25,1,192529,-114.180061799813
"214",1,1.05263157894737e-07,0.0842105263157895,0.25,1,192529,NA
"215",192529,1.05263157894737e-07,0.0842105263157895,0.25,1,192529,-112.020734356364
"216",5e-08,1.57894736842105e-07,0.0842105263157895,0.25,1,192529,NA
"217",0.166666666666667,1.57894736842105e-07,0.0842105263157895,0.25,1,192529,NA
"218",0.25,1.57894736842105e-07,0.0842105263157895,0.25,1,192529,NA
"219",1,1.57894736842105e-07,0.0842105263157895,0.25,1,192529,NA
"220",192529,1.57894736842105e-07,0.0842105263157895,0.25,1,192529,NA
"221",5e-08,2.10526315789474e-07,0.0842105263157895,0.25,1,192529,NA
"222",0.166666666666667,2.10526315789474e-07,0.0842105263157895,0.25,1,192529,NA
"223",0.25,2.10526315789474e-07,0.0842105263157895,0.25,1,192529,NA
"224",1,2.10526315789474e-07,0.0842105263157895,0.25,1,192529,NA
"225",192529,2.10526315789474e-07,0.0842105263157895,0.25,1,192529,NA
